worker_id,wav_name,onomatopoeia_ja,onomatopoeia_en,confidence_score
aUUqG,1-260640-A-2.wav,グググーグォォーググググォグゥ,g u g u g u: g u o o: g u g u g u g u o g u:,3
aUUqG,1-260640-A-2.wav,ゴゴゴーグォォーググググォグゥ,g o g o g o: g u o o: g u g u g u g u o g u:,3
aUUqG,1-260640-A-2.wav,ゴゴゴーグォォーググググォォーグゥォーグゥ,g o g o g o: g u o o: g u g u g u g u o o: g u: o: g u:,4
YqvNS,1-260640-A-2.wav,ゴゴーングォ,g o g o: N g u o,2
YqvNS,1-260640-A-2.wav,グォグォーングォ,g u o g u o: N g u o,2
YqvNS,1-260640-A-2.wav,グォーゴーングァ,g u o: g o: N g u a,2
vTfGP,3-98193-A-46.wav,カァーンカァーンカァーンカァーン,k a:: N k a:: N k a:: N k a:: N,4
vTfGP,3-98193-A-46.wav,グワーンワーンワーンワーン,g u w a: N w a: N w a: N w a: N,3
vTfGP,3-98193-A-46.wav,グガーンガーンガーンガーン,g u g a: N g a: N g a: N g a: N,3
AKRYl,3-98193-A-46.wav,カーンカーンカーンカーン,k a: N k a: N k a: N k a: N,4
AKRYl,3-98193-A-46.wav,コンコンコンコン,k o N k o N k o N k o N,2
AKRYl,3-98193-A-46.wav,クオーンクオーンクオーンクオーン,k u o: N k u o: N k u o: N k u o: N,3
unPFz,3-98193-A-46.wav,カーンカーンカーンカーン,k a: N k a: N k a: N k a: N,5
unPFz,3-98193-A-46.wav,コーンコーンコーンコーン,k o: N k o: N k o: N k o: N,4
unPFz,3-98193-A-46.wav,ボカーンキーンキーンキーンキーン,b o k a: N k i: N k i: N k i: N k i: N,2
ocZuz,3-98193-A-46.wav,コンコンー,k o N k o N:,3
ocZuz,3-98193-A-46.wav,カンカンー,k a N k a N:,3
ocZuz,3-98193-A-46.wav,コーンコーン,k o: N k o: N,3
fztVv,3-98193-A-46.wav,カーンカーン,k a: N k a: N,5
fztVv,3-98193-A-46.wav,ゴーンゴーン,g o: N g o: N,5
fztVv,3-98193-A-46.wav,カッカッ,k a q k a q,3
BJahe,5-218196-B-27.wav,カショカショカショクショクショクショコホ,k a sh o k a sh o k a sh o k u sh o k u sh o k u sh o k o h o,2
BJahe,5-218196-B-27.wav,カシャカシャカシャコショコショコショカショ,k a sh a k a sh a k a sh a k o sh o k o sh o k o sh o k a sh o,2
BJahe,5-218196-B-27.wav,カショカショカショゴシゴシゴシカショコショ,k a sh o k a sh o k a sh o g o sh i g o sh i g o sh i k a sh o k o sh o,2
wNBrO,5-218196-B-27.wav,ガアガアガアゴオゴオゴオグワグワグワ,g a a g a a g a a g o o g o o g o o g u w a g u w a g u w a,2
wNBrO,5-218196-B-27.wav,ガガガグオグオグオクアクアクア,g a g a g a g u o g u o g u o k u a k u a k u a,2
wNBrO,5-218196-B-27.wav,ガガガガクオクオクオシャカシャカシャカ,g a g a g a g a k u o k u o k u o sh a k a sh a k a sh a k a,2
ZZlAb,5-218196-B-27.wav,シュコシュコシュコシュコ,sh u k o sh u k o sh u k o sh u k o,5
ZZlAb,5-218196-B-27.wav,ジュコジュコジュコジュコ,j u k o j u k o j u k o j u k o,4
ZZlAb,5-218196-B-27.wav,ビョコビョコビョコビョコ,by o k o by o k o by o k o by o k o,2
rDpeC,5-218196-B-27.wav,シャカシャカ,sh a k a sh a k a,5
rDpeC,5-218196-B-27.wav,シャコシャコ,sh a k o sh a k o,2
rDpeC,5-218196-B-27.wav,シャッシャッ,sh a q sh a q,3
muMEG,5-218196-B-27.wav,コカコカシュユユシュ,k o k a k o k a sh u y u y u sh u,3
muMEG,5-218196-B-27.wav,コカコカスシュシュウウウ,k o k a k o k a s u sh u sh u u u u,3
muMEG,5-218196-B-27.wav,カクカウシュシュルコカコカ,k a k u k a u sh u sh u r u k o k a k o k a,4
WGhwB,2-71162-A-1.wav,ウォッケコッコー,w o q k e k o q k o:,3
WGhwB,2-71162-A-1.wav,コォッケコッコー,k o: q k e k o q k o:,2
WGhwB,2-71162-A-1.wav,ツォッケコッコー,ts o q k e k o q k o:,2
PeXPc,2-71162-A-1.wav,アッアッアアー,a q a q a a:,4
PeXPc,2-71162-A-1.wav,タッタッタター,t a q t a q t a t a:,4
PeXPc,2-71162-A-1.wav,コケコッココー,k o k e k o q k o k o:,2
cCZKP,2-71162-A-1.wav,コケコーコー,k o k e k o: k o:,5
cCZKP,2-71162-A-1.wav,オエオーオー,o e o: o:,4
cCZKP,2-71162-A-1.wav,カーカカーカー,k a: k a k a: k a:,4
YdeQO,2-71162-A-1.wav,オエオッオー,o e o q o:,3
YdeQO,2-71162-A-1.wav,コケコッコー,k o k e k o q k o:,3
YdeQO,2-71162-A-1.wav,ウォエウオッオー,w o e u o q o:,2
jjZKt,2-71162-A-1.wav,コケコッコー,k o k e k o q k o:,5
jjZKt,2-71162-A-1.wav,オッエオッオー,o q e o q o:,5
jjZKt,2-71162-A-1.wav,トケトーオー,t o k e t o: o:,4
uqnQT,3-164594-A-15.wav,ポチャ,p o ch a,4
uqnQT,3-164594-A-15.wav,ポッチャ,p o q ch a,4
uqnQT,3-164594-A-15.wav,コッチャ,k o q ch a,2
OMZpT,3-164594-A-15.wav,ンチャッポ,N ch a q p o,3
OMZpT,3-164594-A-15.wav,プッチャン,p u q ch a N,3
OMZpT,3-164594-A-15.wav,ポップン,p o q p u N,2
Wbpmb,3-164594-A-15.wav,ポチャン,p o ch a N,5
Wbpmb,3-164594-A-15.wav,トップン,t o q p u N,3
Wbpmb,3-164594-A-15.wav,トロンテゥルン,t o r o N t e u r u N,4
tpdpK,3-164594-A-15.wav,ポチャ,p o ch a,5
tpdpK,3-164594-A-15.wav,ポン,p o N,4
tpdpK,3-164594-A-15.wav,ポトッ,p o t o q,3
gwXJA,3-164594-A-15.wav,チャップン,ch a q p u N,4
gwXJA,3-164594-A-15.wav,チャプン,ch a p u N,4
gwXJA,3-164594-A-15.wav,チュップン,ch u q p u N,3
fztVv,3-161500-A-17.wav,ジョロロロ,j o r o r o r o,5
fztVv,3-161500-A-17.wav,ジョー,j o:,4
fztVv,3-161500-A-17.wav,ジョボジョボ,j o b o j o b o,4
iJdLJ,3-161500-A-17.wav,トゥロロロジョボジョボジョボジョボジョボ,t u r o r o r o j o b o j o b o j o b o j o b o j o b o,4
iJdLJ,3-161500-A-17.wav,ドゥロロロボジョボジョボジョボジョ,d u r o r o r o b o j o b o j o b o j o b o j o,3
iJdLJ,3-161500-A-17.wav,ドゥロラロラロラロルボルボリュリュリュ,d u r o r a r o r a r o r a r o r u b o r u b o ry u ry u ry u,2
RVIfL,3-161500-A-17.wav,ジョロロロー,j o r o r o r o:,1
RVIfL,3-161500-A-17.wav,チョロロロー,ch o r o r o r o:,4
RVIfL,3-161500-A-17.wav,ドボドボー,d o b o d o b o:,4
epXPx,3-161500-A-17.wav,ボーゴーゴー,b o: g o: g o:,3
epXPx,3-161500-A-17.wav,ビチャビチャビチャ,b i ch a b i ch a b i ch a,3
epXPx,3-161500-A-17.wav,ゴロゴロゴロ,g o r o g o r o g o r o,3
SlmnV,3-161500-A-17.wav,ジョロロロロロ,j o r o r o r o r o r o,4
SlmnV,3-161500-A-17.wav,ジョボボボボボ,j o b o b o b o b o b o,4
SlmnV,3-161500-A-17.wav,チョロボボボ,ch o r o b o b o b o,3
mNqRW,2-117795-B-3.wav,グオー,g u o:,2
mNqRW,2-117795-B-3.wav,ガオー,g a o:,1
mNqRW,2-117795-B-3.wav,パオーン,p a o: N,5
tmyEg,2-117795-B-3.wav,ンオービー,N o: b i:,5
tmyEg,2-117795-B-3.wav,グモーウィー,g u m o: w i:,4
tmyEg,2-117795-B-3.wav,モオービー,m o o: b i:,2
MZwoO,2-117795-B-3.wav,ブォーンブォーン,b u o: N b u o: N,4
MZwoO,2-117795-B-3.wav,グォーングォーン,g u o: N g u o: N,4
MZwoO,2-117795-B-3.wav,ズドォーンズドォーン,z u d o:: N z u d o:: N,2
gyrDO,2-117795-B-3.wav,ギュワモー,gy u w a m o:,4
gyrDO,2-117795-B-3.wav,ウワモー,u w a m o:,3
gyrDO,2-117795-B-3.wav,グオーグオー,g u o: g u o:,3
fphJW,2-117795-B-3.wav,ンモーモー,N m o: m o:,4
fphJW,2-117795-B-3.wav,ブモォブモォー,b u m o: b u m o::,3
fphJW,2-117795-B-3.wav,モーヴォー,m o: b u o:,2
gRoEb,1-40154-A-46.wav,カランコロンカランコロン,k a r a N k o r o N k a r a N k o r o N,4
gRoEb,1-40154-A-46.wav,カラララララーン,k a r a r a r a r a r a: N,3
gRoEb,1-40154-A-46.wav,カカランカカラン,k a k a r a N k a k a r a N,2
ctxYc,1-40154-A-46.wav,リンゴーン,r i N g o: N,5
ctxYc,1-40154-A-46.wav,カランコロン,k a r a N k o r o N,4
ctxYc,1-40154-A-46.wav,ガンラーン,g a N r a: N,3
dxseP,1-40154-A-46.wav,コキカココンコキコカココ,k o k i k a k o k o N k o k i k o k a k o k o,4
dxseP,1-40154-A-46.wav,ゴギガゴゴンゴキゴガゴンゴ,g o g i g a g o g o N g o k i g o g a g o N g o,3
dxseP,1-40154-A-46.wav,ドギドガドドンドギドガンド,d o g i d o g a d o d o N d o g i d o g a N d o,2
FSFxZ,1-40154-A-46.wav,カラカラカランカランカランカラ,k a r a k a r a k a r a N k a r a N k a r a N k a r a,2
FSFxZ,1-40154-A-46.wav,タララララタララランランタラ,t a r a r a r a r a t a r a r a r a N r a N t a r a,1
FSFxZ,1-40154-A-46.wav,クワァクワァクワァンクワァンクワァン,k u w a: k u w a: k u w a: N k u w a: N k u w a: N,1
soxlt,1-40154-A-46.wav,ツテテツテテトントントンツテテツテテトントントンツテテテツテテテン,ts u t e t e ts u t e t e t o N t o N t o N ts u t e t e ts u t e t e t o N t o N t o N ts u t e t e t e ts u t e t e t e N,3
soxlt,1-40154-A-46.wav,テレレレテンテンテントンレテテレテントントントンレテテテテン,t e r e r e r e t e N t e N t e N t o N r e t e t e r e t e N t o N t o N t o N r e t e t e t e t e N,3
soxlt,1-40154-A-46.wav,ルテテルテテレンテンテントゥテテテテントゥントゥントゥンレテテレテン,r u t e t e r u t e t e r e N t e N t e N t u t e t e t e t e N t u N t u N t u N r e t e t e r e t e N,4
umSpK,2-95258-A-1.wav,オッエオッオー,o q e o q o:,4
umSpK,2-95258-A-1.wav,コッケコッコー,k o q k e k o q k o:,4
umSpK,2-95258-A-1.wav,オッエッコッコー,o q e q k o q k o:,3
upfrC,2-95258-A-1.wav,オッエエーウェオー,o q e e: w e o:,4
upfrC,2-95258-A-1.wav,オッエエーオェオー,o q e e: o e o:,5
upfrC,2-95258-A-1.wav,コッケケークェオー,k o q k e k e: k u e o:,4
vQRZz,2-95258-A-1.wav,クォケコッコー,k u o k e k o q k o:,5
vQRZz,2-95258-A-1.wav,コケキャッキャー,k o k e ky a q ky a:,5
vQRZz,2-95258-A-1.wav,グォゲゴッゴッー,g u o g e g o q g o q:,4
pxskC,2-95258-A-1.wav,コッケコッコー,k o q k e k o q k o:,4
pxskC,2-95258-A-1.wav,アッアアッアー,a q a a q a:,3
pxskC,2-95258-A-1.wav,ケッケケッケー,k e q k e k e q k e:,2
ZRuQw,2-95258-A-1.wav,コケコッコー,k o k e k o q k o:,4
ZRuQw,2-95258-A-1.wav,キャキャキャッキー,ky a ky a ky a q k i:,3
ZRuQw,2-95258-A-1.wav,キキキッキー,k i k i k i q k i:,2
Zmjbc,3-155234-A-43.wav,ペー,p e:,3
Zmjbc,3-155234-A-43.wav,プー,p u:,3
Zmjbc,3-155234-A-43.wav,ポー,p o:,3
uBMGh,3-155234-A-43.wav,ゴープー,g o: p u:,2
uBMGh,3-155234-A-43.wav,ゴーブー,g o: b u:,3
uBMGh,3-155234-A-43.wav,ゴーパーン,g o: p a: N,2
eKORd,3-155234-A-43.wav,ゴー ポーンッ,g o:  p o: N q,5
eKORd,3-155234-A-43.wav,ドー パオーン,d o:  p a o: N,5
eKORd,3-155234-A-43.wav,グウォーン ターン,g u w o: N  t a: N,4
gFTCe,3-155234-A-43.wav,プーーー,p u:::,4
gFTCe,3-155234-A-43.wav,パーーー,p a:::,3
gFTCe,3-155234-A-43.wav,ウー,u:,3
xoiGF,3-155234-A-43.wav,ザワザワ,z a w a z a w a,3
xoiGF,3-155234-A-43.wav,ピーン,p i: N,3
xoiGF,3-155234-A-43.wav,モゾモゾ,m o z o m o z o,2
QEogw,5-235507-A-44.wav,ガァアアアアアッ,g a: a a a a a q,3
QEogw,5-235507-A-44.wav,グゥアアアアアアアッ,g u: a a a a a a a q,2
QEogw,5-235507-A-44.wav,バァアアアアアアッ,b a: a a a a a a q,2
BfBMl,5-235507-A-44.wav,カカカカ,k a k a k a k a,4
BfBMl,5-235507-A-44.wav,ゴー,g o:,3
BfBMl,5-235507-A-44.wav,ガジャー,g a j a:,2
KgeIn,5-235507-A-44.wav,ザー,z a:,5
KgeIn,5-235507-A-44.wav,シャー,sh a:,4
KgeIn,5-235507-A-44.wav,ジャー,j a:,2
eMOkI,5-235507-A-44.wav,ガー,g a:,5
eMOkI,5-235507-A-44.wav,チッチッシュガッ,ch i q ch i q sh u g a q,5
eMOkI,5-235507-A-44.wav,ジュグワワワッワジュグワワワッワ,j u g u w a w a w a q w a j u g u w a w a w a q w a,2
xUifs,5-235507-A-44.wav,ガガガガガガガガガガー,g a g a g a g a g a g a g a g a g a g a:,4
xUifs,5-235507-A-44.wav,ダァダァダァダァダァダァダァー,d a: d a: d a: d a: d a: d a: d a::,4
xUifs,5-235507-A-44.wav,ブファファファファー,b u f a f a f a f a:,3
DHqJa,2-134915-A-30.wav,トントントントントントントン,t o N t o N t o N t o N t o N t o N t o N,4
DHqJa,2-134915-A-30.wav,ポンポンポンポンポンポンポン,p o N p o N p o N p o N p o N p o N p o N,3
DHqJa,2-134915-A-30.wav,タンタンタンタンタンタンタン,t a N t a N t a N t a N t a N t a N t a N,3
vQRZz,2-134915-A-30.wav,トントントントントントントン,t o N t o N t o N t o N t o N t o N t o N,5
vQRZz,2-134915-A-30.wav,ポンポンポンポンポンポンポン,p o N p o N p o N p o N p o N p o N p o N,4
vQRZz,2-134915-A-30.wav,ボンボンボンボンボンボンボン,b o N b o N b o N b o N b o N b o N b o N,5
QhKnD,2-134915-A-30.wav,トトトトーン,t o t o t o t o: N,4
QhKnD,2-134915-A-30.wav,ココココテン,k o k o k o k o t e N,3
QhKnD,2-134915-A-30.wav,ポポポポテイン,p o p o p o p o t e i N,3
XktgL,2-134915-A-30.wav,トントントントントントントン,t o N t o N t o N t o N t o N t o N t o N,3
XktgL,2-134915-A-30.wav,ドンドンドンドンドンドンドン,d o N d o N d o N d o N d o N d o N d o N,4
XktgL,2-134915-A-30.wav,ボンボンボンボンボンボンボン,b o N b o N b o N b o N b o N b o N b o N,3
ZaWZk,2-134915-A-30.wav,コンコンコンコンコンコン,k o N k o N k o N k o N k o N k o N,5
ZaWZk,2-134915-A-30.wav,トントントントントントン,t o N t o N t o N t o N t o N t o N,4
ZaWZk,2-134915-A-30.wav,タンッタンッタンッタンッタンッタンッタンッ,t a N q t a N q t a N q t a N q t a N q t a N q t a N q,4
vTfGP,2-117615-A-48.wav,パパンパパパンパパパンパンパパパッパパ,p a p a N p a p a p a N p a p a p a N p a N p a p a p a q p a p a,3
vTfGP,2-117615-A-48.wav,タタンタタタンタタタンタッタタタッタタタタッ,t a t a N t a t a t a N t a t a t a N t a q t a t a t a q t a t a t a t a q,3
vTfGP,2-117615-A-48.wav,タタータカタカカタンタカタンタタタッタカタンタタ,t a t a: t a k a t a k a k a t a N t a k a t a N t a t a t a q t a k a t a N t a t a,2
AKRYl,2-117615-A-48.wav,パパンパパパンパンパンパパン,p a p a N p a p a p a N p a N p a N p a p a N,4
AKRYl,2-117615-A-48.wav,タタンタタタンタンタンタタタン,t a t a N t a t a t a N t a N t a N t a t a t a N,4
AKRYl,2-117615-A-48.wav,タランタラランタラランタラン,t a r a N t a r a r a N t a r a r a N t a r a N,2
unPFz,2-117615-A-48.wav,パッパパパンパッパッパ,p a q p a p a p a N p a q p a q p a,3
unPFz,2-117615-A-48.wav,タタンタタンタタンパッパッパ,t a t a N t a t a N t a t a N p a q p a q p a,4
unPFz,2-117615-A-48.wav,ドンドンドンダダンドンドンダダダン,d o N d o N d o N d a d a N d o N d o N d a d a d a N,4
ocZuz,2-117615-A-48.wav,バンババンバンバッーバンババンバンバッー,b a N b a b a N b a N b a q: b a N b a b a N b a N b a q:,3
ocZuz,2-117615-A-48.wav,パンバパンパンバッーパンバパンパンバッー,p a N b a p a N p a N b a q: p a N b a p a N p a N b a q:,2
ocZuz,2-117615-A-48.wav,ボンバパンパンバッーボンバパンパンバッー,b o N b a p a N p a N b a q: b o N b a p a N p a N b a q:,1
fztVv,2-117615-A-48.wav,パパッ,p a p a q,4
fztVv,2-117615-A-48.wav,パッパッ,p a q p a q,3
fztVv,2-117615-A-48.wav,バッバババ,b a q b a b a b a,3
HMsgm,5-253094-D-49.wav,ジャーコージャーコー,j a: k o: j a: k o:,2
HMsgm,5-253094-D-49.wav,ザーコーザーコー,z a: k o: z a: k o:,2
HMsgm,5-253094-D-49.wav,ギーコーギーコー,g i: k o: g i: k o:,2
NsWVY,5-253094-D-49.wav,ギーコギーコ,g i: k o g i: k o,5
NsWVY,5-253094-D-49.wav,ザーシューザーシュー,z a: sh u: z a: sh u:,4
NsWVY,5-253094-D-49.wav,ギギーザーギギーザー,g i g i: z a: g i g i: z a:,4
iYIxH,5-253094-D-49.wav,ガタガタ,g a t a g a t a,3
iYIxH,5-253094-D-49.wav,ギチャギチャ,g i ch a g i ch a,3
iYIxH,5-253094-D-49.wav,ガチャガチャ,g a ch a g a ch a,4
fVHny,5-253094-D-49.wav,ギシシャーギシシャーギシシャーギシシャーギシシャー,g i sh i sh a: g i sh i sh a: g i sh i sh a: g i sh i sh a: g i sh i sh a:,3
fVHny,5-253094-D-49.wav,ガタンゴトンガタンゴトンガタンゴトンガタンゴトンガタンゴトン,g a t a N g o t o N g a t a N g o t o N g a t a N g o t o N g a t a N g o t o N g a t a N g o t o N,2
fVHny,5-253094-D-49.wav,ギシッダーギシッダーギシッダーギシッダーギシッダー,g i sh i q d a: g i sh i q d a: g i sh i q d a: g i sh i q d a: g i sh i q d a:,2
joDOq,5-253094-D-49.wav,キキキッコキキキッコキキキッコキキキッコキキキッコキキキッコ,k i k i k i q k o k i k i k i q k o k i k i k i q k o k i k i k i q k o k i k i k i q k o k i k i k i q k o,4
joDOq,5-253094-D-49.wav,ギュギュギュッギョギュギュギュッギョギュギュギュッギョギュギュギュッギョギュギュギュッギョギュギュギュッギョ,gy u gy u gy u q gy o gy u gy u gy u q gy o gy u gy u gy u q gy o gy u gy u gy u q gy o gy u gy u gy u q gy o gy u gy u gy u q gy o,4
joDOq,5-253094-D-49.wav,ジジジッゴージジジッゴージジジッゴージジジッゴージジジッゴージジジッゴー,j i j i j i q g o: j i j i j i q g o: j i j i j i q g o: j i j i j i q g o: j i j i j i q g o: j i j i j i q g o:,4
bwYew,5-219044-A-46.wav,カーンカーン,k a: N k a: N,5
bwYew,5-219044-A-46.wav,コーンコーン,k o: N k o: N,3
bwYew,5-219044-A-46.wav,ガーンガーン,g a: N g a: N,3
jdCgZ,5-219044-A-46.wav,カーンカーン,k a: N k a: N,4
jdCgZ,5-219044-A-46.wav,ゴーンゴーンゴーン,g o: N g o: N g o: N,4
jdCgZ,5-219044-A-46.wav,タカーンカターン,t a k a: N k a t a: N,4
ntnXi,5-219044-A-46.wav,ウッカンッカーンー,u q k a N q k a: N:,3
ntnXi,5-219044-A-46.wav,ウガッキーン,u g a q k i: N,3
ntnXi,5-219044-A-46.wav,ティランキィーン,t i r a N k i:: N,3
zaqIh,5-219044-A-46.wav,カーンコーン,k a: N k o: N,4
zaqIh,5-219044-A-46.wav,キャワーンコーン,ky a w a: N k o: N,4
zaqIh,5-219044-A-46.wav,キャワーンチョーン,ky a w a: N ch o: N,4
sJimA,5-219044-A-46.wav,キヨラカ,k i y o r a k a,4
sJimA,5-219044-A-46.wav,オゴソカ,o g o s o k a,4
sJimA,5-219044-A-46.wav,サワヤカ,s a w a y a k a,4
JiNfe,4-175025-A-34.wav,ピシャクチャ,p i sh a k u ch a,4
JiNfe,4-175025-A-34.wav,プシャクシャ,p u sh a k u sh a,3
JiNfe,4-175025-A-34.wav,クシャキュシュ,k u sh a ky u sh u,4
hZxBz,4-175025-A-34.wav,カチャ,k a ch a,3
hZxBz,4-175025-A-34.wav,シュパ,sh u p a,3
hZxBz,4-175025-A-34.wav,パチパチ,p a ch i p a ch i,2
SxfBg,4-175025-A-34.wav,カポッシュッチャジュワー,k a p o q sh u q ch a j u w a:,4
SxfBg,4-175025-A-34.wav,プシッカッチャジューン,p u sh i q k a q ch a j u: N,3
SxfBg,4-175025-A-34.wav,チワップッキャジュワー,ch i w a q p u q ky a j u w a:,3
xxsyA,4-175025-A-34.wav,プシュ,p u sh u,5
xxsyA,4-175025-A-34.wav,シュワシュワ,sh u w a sh u w a,4
xxsyA,4-175025-A-34.wav,チョボチョボ,ch o b o ch o b o,2
aTIir,4-175025-A-34.wav,プシュ カチャ,p u sh u  k a ch a,4
